Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,получение средств,1907.64,наличный,Минск,БелАгропромбанк-KBDF-854,15-12-2017,06:43:43,успешно,нет,0.0
юр. лицо,списание средств,435.73,безналичный,Гродно,БелАгропромбанк-GLMT-311,25-12-2013,19:15:00,недостаточно средств,нет,0.0
физ. лицо,получение средств,2829.29,безналичный,Брест,БелАгропромбанк-YJWX-719,08-10-2005,10:36:56,успешно,нет,0.0
физ. лицо,списание средств,4707.33,наличный,Витебск,БелАгропромбанк-IRTR-685,07-04-2015,18:29:30,недостаточно средств,нет,0.0
физ. лицо,списание средств,4506.17,безналичный,Минск,БелАгропромбанк-YVRT-472,11-10-2010,12:10:32,недостаточно средств,да,321.36
юр. лицо,получение средств,2603.17,безналичный,Минск,БелАгропромбанк-KHTA-159,14-08-2022,18:20:58,успешно,нет,0.0
юр. лицо,списание средств,3158.65,безналичный,Могилев,БелАгропромбанк-RGHX-704,18-06-2016,23:52:41,недостаточно средств,нет,0.0
юр. лицо,получение средств,4990.52,безналичный,Витебск,БелАгропромбанк-VSNT-697,31-01-2015,00:05:15,успешно,нет,0.0
физ. лицо,получение средств,1775.75,безналичный,Витебск,БелАгропромбанк-MWHL-646,09-07-2008,12:29:06,успешно,нет,0.0
физ. лицо,списание средств,4714.16,безналичный,Гродно,БелАгропромбанк-WKWT-614,14-04-2009,04:19:34,неправильный ввод пин-кода,да,303.59
юр. лицо,получение средств,681.88,наличный,Витебск,БелАгропромбанк-JRQS-381,23-06-2017,23:28:55,успешно,нет,0.0
физ. лицо,списание средств,1647.1,безналичный,Могилев,БелАгропромбанк-ZQTG-084,01-12-2017,09:34:37,успешно,да,97.24
юр. лицо,получение средств,585.38,наличный,Гомель,БелАгропромбанк-HDGX-305,20-08-2013,14:52:15,успешно,нет,0.0
физ. лицо,списание средств,468.64,безналичный,Витебск,БелАгропромбанк-WZHH-590,20-02-2005,09:42:24,недостаточно средств,да,6.21
физ. лицо,списание средств,1883.58,безналичный,Витебск,БелАгропромбанк-VYUT-579,16-09-2006,14:00:02,недостаточно средств,нет,0.0
физ. лицо,списание средств,954.67,безналичный,Брест,БелАгропромбанк-SUNO-871,17-09-2005,23:21:59,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4219.95,наличный,Могилев,БелАгропромбанк-SDFZ-592,05-07-2010,05:06:12,успешно,нет,0.0
физ. лицо,списание средств,2010.24,наличный,Брест,БелАгропромбанк-XIJO-542,25-03-2001,02:21:28,успешно,нет,0.0
юр. лицо,получение средств,973.42,безналичный,Гомель,БелАгропромбанк-GIQS-908,21-08-2019,08:15:08,успешно,нет,0.0
юр. лицо,списание средств,2677.46,наличный,Минск,БелАгропромбанк-DYBG-084,30-08-2003,09:44:03,успешно,нет,0.0
физ. лицо,списание средств,175.14,наличный,Гродно,БелАгропромбанк-HFRV-790,08-03-2008,00:30:33,успешно,нет,0.0
юр. лицо,получение средств,3011.44,наличный,Гродно,БелАгропромбанк-XDSU-873,13-01-2005,09:19:43,успешно,нет,0.0
юр. лицо,списание средств,4406.47,наличный,Гродно,БелАгропромбанк-DLBE-907,13-05-2023,22:35:23,неправильный ввод пин-кода,да,376.89
физ. лицо,получение средств,201.33,наличный,Витебск,БелАгропромбанк-SKNH-232,10-07-2012,12:42:26,успешно,нет,0.0
физ. лицо,получение средств,2686.63,безналичный,Брест,БелАгропромбанк-IXKX-555,25-10-2008,11:25:32,успешно,нет,0.0
физ. лицо,списание средств,1653.72,безналичный,Витебск,БелАгропромбанк-KUPX-961,30-11-2008,13:30:22,успешно,нет,0.0
физ. лицо,получение средств,3838.83,наличный,Витебск,БелАгропромбанк-TAEL-374,22-04-2002,16:41:31,успешно,нет,0.0
юр. лицо,списание средств,980.25,наличный,Гродно,БелАгропромбанк-BZPQ-602,01-05-2002,07:40:29,недостаточно средств,нет,0.0
физ. лицо,получение средств,2891.06,безналичный,Могилев,БелАгропромбанк-WFKJ-303,22-05-2007,02:02:56,успешно,нет,0.0
юр. лицо,получение средств,551.41,безналичный,Гродно,БелАгропромбанк-GQGD-773,27-07-2017,00:23:52,успешно,нет,0.0
юр. лицо,получение средств,700.29,наличный,Могилев,БелАгропромбанк-TMIO-432,17-10-2015,00:48:27,успешно,нет,0.0
физ. лицо,получение средств,551.73,безналичный,Гомель,БелАгропромбанк-SUFX-397,06-08-2014,00:21:36,успешно,нет,0.0
юр. лицо,получение средств,801.74,наличный,Брест,БелАгропромбанк-TZJM-890,11-12-2011,08:07:10,успешно,нет,0.0
физ. лицо,получение средств,3028.31,наличный,Гродно,БелАгропромбанк-TYMV-602,18-06-2003,05:08:32,успешно,нет,0.0
юр. лицо,списание средств,1959.17,наличный,Гомель,БелАгропромбанк-ZSKQ-210,23-11-2000,09:38:39,успешно,да,94.82
юр. лицо,списание средств,3486.46,наличный,Минск,БелАгропромбанк-LCLH-559,18-09-2006,05:03:14,успешно,нет,0.0
юр. лицо,списание средств,3771.01,безналичный,Могилев,БелАгропромбанк-LKBE-452,24-08-2015,22:59:11,неправильный ввод пин-кода,да,293.65
физ. лицо,получение средств,4392.03,наличный,Витебск,БелАгропромбанк-TDFD-725,23-01-2001,07:46:53,успешно,нет,0.0
физ. лицо,получение средств,2410.85,безналичный,Брест,БелАгропромбанк-FJQX-767,21-04-2020,05:36:56,успешно,нет,0.0
физ. лицо,списание средств,1003.92,наличный,Гродно,БелАгропромбанк-TETT-699,25-03-2016,10:29:25,неправильный ввод пин-кода,да,60.59
юр. лицо,списание средств,865.1,безналичный,Брест,БелАгропромбанк-SDJP-146,19-10-2005,15:25:03,неправильный ввод пин-кода,да,34.53
физ. лицо,списание средств,2056.09,безналичный,Гродно,БелАгропромбанк-MNXD-222,03-05-2009,06:54:00,успешно,нет,0.0
физ. лицо,списание средств,1734.22,безналичный,Гомель,БелАгропромбанк-TBLV-489,31-08-2002,17:04:18,неправильный ввод пин-кода,да,148.14
физ. лицо,получение средств,3156.08,наличный,Гомель,БелАгропромбанк-CDPC-746,21-12-2017,14:21:47,успешно,нет,0.0
юр. лицо,получение средств,3440.24,наличный,Брест,БелАгропромбанк-RAGX-253,24-02-2008,10:24:09,успешно,нет,0.0
юр. лицо,получение средств,2523.59,наличный,Гомель,БелАгропромбанк-XUZX-164,04-08-2010,12:10:26,успешно,нет,0.0
физ. лицо,получение средств,3647.19,безналичный,Могилев,БелАгропромбанк-ZOXF-483,01-08-2013,07:04:26,успешно,нет,0.0
физ. лицо,списание средств,1480.53,наличный,Могилев,БелАгропромбанк-BLJZ-813,07-12-2015,13:54:22,успешно,да,85.53
юр. лицо,получение средств,341.63,наличный,Могилев,БелАгропромбанк-PXRB-162,23-10-2012,17:43:36,успешно,нет,0.0
физ. лицо,получение средств,2034.99,безналичный,Могилев,БелАгропромбанк-REGV-805,09-07-2000,23:51:14,успешно,нет,0.0
юр. лицо,списание средств,3741.14,наличный,Гродно,БелАгропромбанк-JBBO-484,28-05-2011,07:18:51,успешно,да,163.95
физ. лицо,списание средств,83.66,наличный,Гомель,БелАгропромбанк-TRPR-848,15-10-2016,02:28:32,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1142.18,наличный,Могилев,БелАгропромбанк-HGCM-175,14-04-2012,12:35:12,успешно,нет,0.0
юр. лицо,списание средств,902.16,безналичный,Брест,БелАгропромбанк-JSLW-680,03-09-2006,01:04:39,неправильный ввод пин-кода,да,78.51
юр. лицо,получение средств,2485.35,наличный,Гомель,БелАгропромбанк-YVEC-203,16-09-2019,11:08:19,успешно,нет,0.0
юр. лицо,получение средств,2674.18,наличный,Минск,БелАгропромбанк-SYKN-140,24-03-2018,07:17:43,успешно,нет,0.0
физ. лицо,списание средств,4314.91,безналичный,Гомель,БелАгропромбанк-QBWE-960,22-08-2000,10:57:16,недостаточно средств,нет,0.0
юр. лицо,получение средств,3374.73,наличный,Могилев,БелАгропромбанк-KVCC-259,06-05-2007,09:05:19,успешно,нет,0.0
физ. лицо,получение средств,4524.66,безналичный,Витебск,БелАгропромбанк-JOAT-473,16-03-2004,19:18:43,успешно,нет,0.0
юр. лицо,получение средств,413.3,безналичный,Витебск,БелАгропромбанк-OKHH-455,01-08-2012,17:56:09,успешно,нет,0.0
физ. лицо,получение средств,2458.43,безналичный,Могилев,БелАгропромбанк-QALH-946,17-05-2006,17:21:34,успешно,нет,0.0
физ. лицо,списание средств,3044.45,безналичный,Гродно,БелАгропромбанк-KOMF-331,18-11-2002,09:32:42,успешно,нет,0.0
юр. лицо,списание средств,4248.0,наличный,Витебск,БелАгропромбанк-GATS-171,16-04-2021,15:12:23,недостаточно средств,да,414.05
физ. лицо,списание средств,1497.62,безналичный,Витебск,БелАгропромбанк-JCEV-147,07-06-2004,23:55:46,успешно,нет,0.0
юр. лицо,получение средств,4379.59,безналичный,Могилев,БелАгропромбанк-WRGM-496,25-07-2009,18:37:24,успешно,нет,0.0
физ. лицо,получение средств,2372.82,безналичный,Могилев,БелАгропромбанк-IJPE-607,07-05-2006,10:18:42,успешно,нет,0.0
физ. лицо,получение средств,2452.87,наличный,Минск,БелАгропромбанк-WWCM-892,17-07-2007,06:31:31,успешно,нет,0.0
физ. лицо,списание средств,3686.44,безналичный,Гродно,БелАгропромбанк-GATE-045,24-03-2015,20:38:59,успешно,нет,0.0
юр. лицо,получение средств,637.19,наличный,Гродно,БелАгропромбанк-OPAZ-518,10-04-2004,19:29:48,успешно,нет,0.0
физ. лицо,получение средств,3491.56,безналичный,Гомель,БелАгропромбанк-YGWT-211,05-06-2014,09:02:33,успешно,нет,0.0
юр. лицо,списание средств,3334.57,безналичный,Минск,БелАгропромбанк-WMGN-541,10-12-2010,18:02:25,недостаточно средств,нет,0.0
юр. лицо,получение средств,2349.47,наличный,Витебск,БелАгропромбанк-MQFQ-636,08-07-2022,17:54:34,успешно,нет,0.0
физ. лицо,получение средств,966.16,безналичный,Гродно,БелАгропромбанк-GDHA-668,16-07-2009,15:42:21,успешно,нет,0.0
физ. лицо,списание средств,4921.91,наличный,Гомель,БелАгропромбанк-ADLX-884,13-03-2000,04:12:49,неправильный ввод пин-кода,да,274.72
