Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,3569.08,наличный,Витебск,Беларусбанк-RQEC-843,24-02-2000,13:59:32,успешно,да,309.05
физ. лицо,списание средств,761.45,наличный,Витебск,Беларусбанк-QTAT-203,08-04-2004,13:13:05,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4567.95,безналичный,Могилев,Беларусбанк-QQYW-208,05-05-2015,03:18:49,недостаточно средств,нет,0.0
физ. лицо,списание средств,3648.78,безналичный,Гомель,Беларусбанк-XRUX-340,28-11-2024,15:25:40,недостаточно средств,нет,0.0
юр. лицо,получение средств,1045.86,безналичный,Минск,Беларусбанк-MOOR-312,27-06-2010,06:25:33,успешно,нет,0.0
физ. лицо,списание средств,244.3,наличный,Гродно,Беларусбанк-FUQH-174,04-03-2001,12:43:59,недостаточно средств,нет,0.0
физ. лицо,получение средств,4067.71,наличный,Минск,Беларусбанк-BUEL-170,06-08-2020,11:44:30,успешно,нет,0.0
юр. лицо,списание средств,3429.2,наличный,Минск,Беларусбанк-QJWY-641,15-12-2013,11:15:19,успешно,да,156.23
физ. лицо,списание средств,1783.46,безналичный,Гродно,Беларусбанк-GXVY-633,06-11-2022,12:44:06,успешно,да,28.8
юр. лицо,списание средств,2298.45,наличный,Минск,Беларусбанк-TNEH-276,27-02-2018,00:44:23,успешно,да,121.65
юр. лицо,списание средств,128.64,наличный,Гомель,Беларусбанк-JZEU-614,17-06-2005,07:13:34,недостаточно средств,нет,0.0
юр. лицо,списание средств,723.45,безналичный,Гомель,Беларусбанк-RGZT-742,30-12-2006,14:26:21,успешно,да,70.82
юр. лицо,списание средств,3819.57,наличный,Гродно,Беларусбанк-LXAK-476,07-08-2006,15:55:33,успешно,нет,0.0
юр. лицо,получение средств,2687.74,наличный,Гомель,Беларусбанк-PAVH-692,31-10-2020,02:00:44,успешно,нет,0.0
юр. лицо,получение средств,3198.76,безналичный,Могилев,Беларусбанк-RNZN-595,21-08-2016,01:35:22,успешно,нет,0.0
юр. лицо,списание средств,3189.31,наличный,Гродно,Беларусбанк-TWKX-709,05-03-2010,11:03:13,недостаточно средств,да,70.96
физ. лицо,получение средств,2986.51,наличный,Брест,Беларусбанк-FCBH-347,25-10-2017,00:19:30,успешно,нет,0.0
юр. лицо,списание средств,1507.03,наличный,Минск,Беларусбанк-BZXB-083,29-07-2011,07:33:42,неправильный ввод пин-кода,да,140.4
физ. лицо,получение средств,4041.86,наличный,Гродно,Беларусбанк-BTLP-652,29-04-2012,01:53:38,успешно,нет,0.0
юр. лицо,списание средств,4923.92,наличный,Брест,Беларусбанк-IHWL-801,09-05-2018,02:47:02,недостаточно средств,нет,0.0
физ. лицо,списание средств,1414.4,наличный,Гродно,Беларусбанк-IWSL-947,07-01-2022,09:37:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2142.09,безналичный,Гродно,Беларусбанк-EKAT-143,05-04-2016,22:26:09,недостаточно средств,да,122.67
юр. лицо,получение средств,1633.66,безналичный,Могилев,Беларусбанк-BYIJ-765,12-05-2019,05:10:00,успешно,нет,0.0
физ. лицо,получение средств,1597.54,безналичный,Могилев,Беларусбанк-ZTSL-797,13-09-2018,17:20:10,успешно,нет,0.0
физ. лицо,получение средств,3365.74,наличный,Витебск,Беларусбанк-UNTH-998,07-11-2006,00:43:28,успешно,нет,0.0
физ. лицо,списание средств,1057.03,наличный,Брест,Беларусбанк-MTBQ-737,06-12-2008,01:55:07,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4267.74,наличный,Могилев,Беларусбанк-QQJK-306,27-03-2016,18:46:16,успешно,нет,0.0
юр. лицо,получение средств,4998.94,безналичный,Минск,Беларусбанк-TFSM-759,16-01-2004,11:10:24,успешно,нет,0.0
физ. лицо,получение средств,447.12,безналичный,Могилев,Беларусбанк-RKQJ-951,23-01-2008,13:19:34,успешно,нет,0.0
юр. лицо,получение средств,2760.75,безналичный,Гродно,Беларусбанк-BIPZ-310,17-10-2008,07:22:30,успешно,нет,0.0
физ. лицо,получение средств,1972.21,безналичный,Могилев,Беларусбанк-PMKP-734,06-12-2010,02:17:23,успешно,нет,0.0
юр. лицо,списание средств,3097.61,наличный,Могилев,Беларусбанк-RRLU-508,21-02-2008,07:54:25,успешно,нет,0.0
юр. лицо,списание средств,2184.51,безналичный,Минск,Беларусбанк-TPQE-168,05-04-2005,16:54:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4762.33,безналичный,Витебск,Беларусбанк-SSEN-169,26-03-2001,07:40:04,недостаточно средств,нет,0.0
физ. лицо,списание средств,1358.54,безналичный,Витебск,Беларусбанк-MKEE-925,11-10-2014,14:03:28,успешно,да,20.85
юр. лицо,получение средств,4368.1,безналичный,Гомель,Беларусбанк-MIYQ-104,13-04-2010,13:44:28,успешно,нет,0.0
физ. лицо,получение средств,4024.24,наличный,Могилев,Беларусбанк-FFQD-416,17-11-2020,07:43:17,успешно,нет,0.0
