Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,93.41,безналичный,Минск,Белинвестбанк-QUIY-296,05-07-2012,08:06:04,успешно,нет,0.0
физ. лицо,списание средств,701.69,наличный,Гомель,Белинвестбанк-GCFB-530,23-05-2012,00:21:14,успешно,нет,0.0
юр. лицо,получение средств,3953.79,безналичный,Гродно,Белинвестбанк-KYTC-224,21-12-2005,16:35:25,успешно,нет,0.0
физ. лицо,списание средств,691.21,наличный,Гомель,Белинвестбанк-IMCV-980,30-03-2010,09:19:44,успешно,да,68.81
юр. лицо,списание средств,150.18,наличный,Гродно,Белинвестбанк-KEPM-784,25-04-2011,02:17:21,неправильный ввод пин-кода,да,13.22
юр. лицо,получение средств,4254.21,наличный,Брест,Белинвестбанк-EGAX-728,13-04-2020,00:51:34,успешно,нет,0.0
физ. лицо,получение средств,3128.73,наличный,Минск,Белинвестбанк-TFMU-846,26-04-2007,19:06:11,успешно,нет,0.0
юр. лицо,получение средств,2952.28,безналичный,Брест,Белинвестбанк-WBIP-272,30-12-2015,11:17:12,успешно,нет,0.0
юр. лицо,списание средств,2357.44,наличный,Могилев,Белинвестбанк-FYUX-386,07-01-2012,14:47:02,успешно,нет,0.0
физ. лицо,списание средств,110.89,наличный,Минск,Белинвестбанк-VLIS-270,25-12-2015,03:54:57,успешно,да,5.03
юр. лицо,списание средств,3367.07,наличный,Витебск,Белинвестбанк-RWMO-628,13-04-2010,22:03:51,недостаточно средств,нет,0.0
физ. лицо,получение средств,3565.19,наличный,Могилев,Белинвестбанк-HIAA-932,11-11-2002,03:27:11,успешно,нет,0.0
юр. лицо,списание средств,427.85,наличный,Могилев,Белинвестбанк-CSZG-934,27-01-2009,00:47:21,неправильный ввод пин-кода,да,25.9
юр. лицо,получение средств,3195.25,безналичный,Гомель,Белинвестбанк-XZCB-045,31-03-2015,04:04:36,успешно,нет,0.0
физ. лицо,получение средств,3581.76,наличный,Могилев,Белинвестбанк-NPIN-857,22-11-2001,12:38:24,успешно,нет,0.0
юр. лицо,получение средств,727.66,наличный,Гомель,Белинвестбанк-RADF-837,12-11-2021,22:28:44,успешно,нет,0.0
юр. лицо,списание средств,532.74,наличный,Могилев,Белинвестбанк-GIAN-856,15-04-2014,09:38:50,недостаточно средств,нет,0.0
юр. лицо,получение средств,4393.5,безналичный,Гомель,Белинвестбанк-ISRE-987,21-10-2009,10:37:52,успешно,нет,0.0
юр. лицо,списание средств,1060.05,безналичный,Гродно,Белинвестбанк-CVIL-210,07-12-2007,11:07:32,неправильный ввод пин-кода,да,93.99
физ. лицо,списание средств,2769.52,наличный,Брест,Белинвестбанк-HSEZ-159,22-08-2017,21:11:07,успешно,да,201.6
физ. лицо,получение средств,820.93,безналичный,Минск,Белинвестбанк-ZHCJ-150,14-08-2018,00:55:00,успешно,нет,0.0
физ. лицо,списание средств,4468.05,безналичный,Могилев,Белинвестбанк-IGGW-028,24-08-2001,14:42:08,успешно,да,235.43
юр. лицо,получение средств,1565.67,наличный,Гродно,Белинвестбанк-OYUC-352,09-12-2002,11:34:44,успешно,нет,0.0
физ. лицо,получение средств,1813.79,наличный,Гомель,Белинвестбанк-LPZH-775,08-05-2002,17:24:05,успешно,нет,0.0
юр. лицо,списание средств,2334.27,безналичный,Гродно,Белинвестбанк-PREK-651,26-01-2017,06:20:21,успешно,да,108.59
юр. лицо,получение средств,2235.12,наличный,Гродно,Белинвестбанк-QSUU-747,21-05-2003,13:55:51,успешно,нет,0.0
физ. лицо,получение средств,4830.09,безналичный,Минск,Белинвестбанк-SEJN-786,29-12-2009,04:22:46,успешно,нет,0.0
физ. лицо,списание средств,2974.54,безналичный,Гродно,Белинвестбанк-OUGQ-905,24-09-2020,14:11:19,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1708.09,безналичный,Брест,Белинвестбанк-AZUM-593,12-08-2011,22:52:23,успешно,да,151.77
юр. лицо,получение средств,1047.99,наличный,Брест,Белинвестбанк-UDBV-564,25-12-2011,01:20:35,успешно,нет,0.0
юр. лицо,получение средств,2131.76,наличный,Гродно,Белинвестбанк-DPGG-711,07-03-2019,08:30:57,успешно,нет,0.0
физ. лицо,списание средств,4186.16,безналичный,Гродно,Белинвестбанк-NXVT-760,07-01-2015,04:28:50,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3076.94,наличный,Гродно,Белинвестбанк-YVOS-077,17-07-2012,16:02:20,успешно,нет,0.0
физ. лицо,списание средств,164.97,безналичный,Могилев,Белинвестбанк-JTEI-499,28-11-2012,19:17:39,успешно,да,12.7
юр. лицо,списание средств,1693.24,наличный,Витебск,Белинвестбанк-ROQO-211,15-03-2022,00:13:13,недостаточно средств,да,140.16
физ. лицо,списание средств,208.37,наличный,Могилев,Белинвестбанк-EGPI-941,14-06-2021,04:55:53,успешно,да,12.03
