Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,1291.13,безналичный,Минск,МаксБанк-RAKK-080,08-03-2010,13:09:53,успешно,нет,0.0
юр. лицо,списание средств,711.75,наличный,Гродно,МаксБанк-QOOF-059,16-09-2013,18:04:19,успешно,нет,0.0
физ. лицо,получение средств,4989.23,безналичный,Минск,МаксБанк-EOSE-253,12-01-2004,08:27:30,успешно,нет,0.0
физ. лицо,получение средств,1042.92,безналичный,Брест,МаксБанк-XZKM-645,01-12-2023,10:29:42,успешно,нет,0.0
юр. лицо,списание средств,1346.1,безналичный,Гомель,МаксБанк-ILXO-506,17-12-2003,19:21:45,недостаточно средств,да,97.29
юр. лицо,получение средств,1861.84,безналичный,Витебск,МаксБанк-HDZP-580,13-07-2003,21:58:17,успешно,нет,0.0
физ. лицо,списание средств,4172.49,безналичный,Гродно,МаксБанк-KSNN-540,18-07-2021,15:47:24,неправильный ввод пин-кода,да,342.61
физ. лицо,получение средств,835.21,наличный,Могилев,МаксБанк-ZZUY-170,27-08-2008,11:48:28,успешно,нет,0.0
юр. лицо,списание средств,629.74,безналичный,Гродно,МаксБанк-IPXR-243,16-05-2011,16:35:33,недостаточно средств,нет,0.0
юр. лицо,списание средств,4743.36,безналичный,Гомель,МаксБанк-TERN-600,17-01-2005,00:06:44,недостаточно средств,да,302.71
физ. лицо,списание средств,255.31,наличный,Гродно,МаксБанк-HOJA-737,15-06-2006,12:59:20,недостаточно средств,нет,0.0
юр. лицо,списание средств,1047.89,наличный,Гомель,МаксБанк-CGBF-454,26-02-2016,17:53:36,недостаточно средств,да,62.51
юр. лицо,списание средств,40.98,наличный,Могилев,МаксБанк-NDSR-045,14-04-2007,00:54:59,успешно,нет,0.0
физ. лицо,списание средств,405.47,наличный,Гродно,МаксБанк-FLYU-645,03-06-2015,19:27:39,успешно,нет,0.0
физ. лицо,списание средств,3122.39,безналичный,Гомель,МаксБанк-PFMI-637,21-07-2006,18:25:18,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,593.72,наличный,Могилев,МаксБанк-BTTJ-626,21-11-2018,11:59:17,недостаточно средств,нет,0.0
физ. лицо,получение средств,644.17,наличный,Гомель,МаксБанк-LZJO-995,13-10-2018,21:04:17,успешно,нет,0.0
физ. лицо,получение средств,1575.93,безналичный,Минск,МаксБанк-LKAB-333,11-08-2008,09:02:15,успешно,нет,0.0
физ. лицо,получение средств,1470.82,наличный,Витебск,МаксБанк-RVXQ-189,24-04-2019,12:26:21,успешно,нет,0.0
юр. лицо,получение средств,4629.38,безналичный,Гродно,МаксБанк-GMIA-421,11-12-2003,12:34:27,успешно,нет,0.0
физ. лицо,списание средств,3390.54,наличный,Минск,МаксБанк-GTXC-532,01-12-2011,19:22:27,успешно,да,87.74
физ. лицо,получение средств,3837.75,безналичный,Витебск,МаксБанк-KAGY-950,03-07-2020,09:55:36,успешно,нет,0.0
юр. лицо,списание средств,2378.55,безналичный,Брест,МаксБанк-ZPWH-976,07-09-2013,09:44:10,успешно,нет,0.0
юр. лицо,списание средств,719.85,наличный,Гродно,МаксБанк-WOKT-780,27-09-2013,00:06:38,успешно,да,56.66
физ. лицо,получение средств,4520.76,безналичный,Гомель,МаксБанк-KNLX-359,19-12-2009,15:36:29,успешно,нет,0.0
физ. лицо,получение средств,4755.42,безналичный,Гродно,МаксБанк-XGYS-537,15-02-2005,00:53:19,успешно,нет,0.0
юр. лицо,получение средств,1269.24,безналичный,Минск,МаксБанк-HARB-644,05-12-2006,07:57:57,успешно,нет,0.0
юр. лицо,получение средств,3625.8,безналичный,Минск,МаксБанк-BPEH-692,25-09-2006,05:50:46,успешно,нет,0.0
юр. лицо,получение средств,2676.94,безналичный,Витебск,МаксБанк-IWMX-876,30-11-2011,00:30:22,успешно,нет,0.0
юр. лицо,получение средств,2772.29,наличный,Брест,МаксБанк-FQTT-657,02-05-2006,02:04:04,успешно,нет,0.0
юр. лицо,списание средств,1837.58,безналичный,Гомель,МаксБанк-IBIK-876,04-09-2010,22:36:27,недостаточно средств,да,35.41
физ. лицо,получение средств,2009.48,наличный,Витебск,МаксБанк-VUMS-425,19-06-2019,04:00:51,успешно,нет,0.0
юр. лицо,получение средств,4587.38,безналичный,Гродно,МаксБанк-DJWO-676,04-06-2007,07:25:32,успешно,нет,0.0
физ. лицо,получение средств,2767.24,безналичный,Витебск,МаксБанк-WTOR-861,28-09-2000,09:42:44,успешно,нет,0.0
физ. лицо,получение средств,1968.17,наличный,Витебск,МаксБанк-JDIA-806,30-08-2011,16:43:34,успешно,нет,0.0
физ. лицо,списание средств,3971.59,безналичный,Гродно,МаксБанк-MPQB-297,06-03-2005,19:43:32,неправильный ввод пин-кода,да,171.61
физ. лицо,списание средств,4605.24,наличный,Витебск,МаксБанк-YJGI-970,23-04-2013,23:20:44,неправильный ввод пин-кода,да,213.77
физ. лицо,списание средств,57.27,безналичный,Витебск,МаксБанк-TQJF-537,01-03-2024,12:47:23,успешно,нет,0.0
юр. лицо,получение средств,4648.62,наличный,Могилев,МаксБанк-WPAZ-371,13-12-2009,11:48:14,успешно,нет,0.0
юр. лицо,получение средств,2771.99,наличный,Минск,МаксБанк-JKLM-298,05-10-2023,07:49:11,успешно,нет,0.0
физ. лицо,списание средств,1851.75,безналичный,Гродно,МаксБанк-MIXZ-194,28-12-2010,17:23:34,успешно,да,37.24
юр. лицо,получение средств,4830.46,безналичный,Витебск,МаксБанк-HEKK-713,23-11-2012,17:49:40,успешно,нет,0.0
