Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,478.75,безналичный,Могилев,Приорбанк-VWFC-150,28-01-2014,09:00:08,успешно,да,14.44
физ. лицо,получение средств,4670.79,наличный,Гродно,Приорбанк-YSUX-656,20-06-2022,10:20:50,успешно,нет,0.0
физ. лицо,получение средств,4333.59,безналичный,Брест,Приорбанк-RKIF-148,30-05-2009,18:40:52,успешно,нет,0.0
юр. лицо,списание средств,1254.61,безналичный,Могилев,Приорбанк-RSPT-719,01-06-2001,21:15:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4285.11,безналичный,Витебск,Приорбанк-YPRH-073,23-03-2015,23:25:26,недостаточно средств,нет,0.0
юр. лицо,списание средств,4623.27,наличный,Гомель,Приорбанк-EWAJ-691,05-03-2012,16:27:59,успешно,да,54.74
юр. лицо,списание средств,3606.4,наличный,Минск,Приорбанк-UQFJ-139,22-09-2005,16:30:11,успешно,нет,0.0
юр. лицо,получение средств,4917.51,безналичный,Брест,Приорбанк-ZXYR-940,13-12-2002,03:09:49,успешно,нет,0.0
физ. лицо,списание средств,48.1,безналичный,Минск,Приорбанк-XXNF-658,28-10-2004,02:45:42,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3405.1,наличный,Гродно,Приорбанк-MUOT-343,23-01-2005,11:12:05,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2655.65,наличный,Гомель,Приорбанк-SSXJ-692,21-06-2019,08:19:29,неправильный ввод пин-кода,да,94.94
физ. лицо,получение средств,3410.52,безналичный,Гродно,Приорбанк-WJUE-212,15-02-2014,06:00:26,успешно,нет,0.0
юр. лицо,списание средств,4755.02,наличный,Могилев,Приорбанк-PYZD-111,11-09-2019,09:47:46,успешно,да,139.09
юр. лицо,списание средств,1218.3,наличный,Гродно,Приорбанк-FHAG-323,13-07-2004,07:58:55,успешно,нет,0.0
физ. лицо,получение средств,3841.28,безналичный,Гродно,Приорбанк-YQEH-070,12-01-2005,07:30:59,успешно,нет,0.0
физ. лицо,списание средств,2987.46,безналичный,Витебск,Приорбанк-EVAA-812,05-03-2022,01:25:28,успешно,да,140.17
юр. лицо,списание средств,2342.17,безналичный,Минск,Приорбанк-NOIZ-255,26-05-2020,04:53:58,недостаточно средств,да,135.89
физ. лицо,списание средств,2268.32,безналичный,Витебск,Приорбанк-CHIC-474,19-05-2016,13:19:25,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2999.99,безналичный,Витебск,Приорбанк-OJXD-524,06-08-2021,10:38:37,успешно,нет,0.0
юр. лицо,получение средств,4252.33,наличный,Могилев,Приорбанк-KHAX-097,09-03-2006,03:26:10,успешно,нет,0.0
юр. лицо,списание средств,2729.01,наличный,Могилев,Приорбанк-CRKF-074,22-12-2023,23:10:08,недостаточно средств,нет,0.0
физ. лицо,получение средств,107.7,безналичный,Гродно,Приорбанк-PMCZ-462,27-12-2004,09:22:50,успешно,нет,0.0
юр. лицо,списание средств,2680.98,наличный,Гомель,Приорбанк-XOZM-556,24-05-2024,00:46:53,неправильный ввод пин-кода,да,159.66
физ. лицо,получение средств,2566.28,безналичный,Брест,Приорбанк-PNLR-219,12-08-2019,23:45:43,успешно,нет,0.0
юр. лицо,получение средств,3338.46,наличный,Брест,Приорбанк-HDLW-081,29-08-2010,05:58:19,успешно,нет,0.0
юр. лицо,получение средств,3627.08,наличный,Гродно,Приорбанк-VWCB-400,12-11-2019,04:36:00,успешно,нет,0.0
физ. лицо,получение средств,2937.48,наличный,Гродно,Приорбанк-OVYS-215,22-02-2018,09:35:59,успешно,нет,0.0
